1586312 words in 36953 sentences. Total 99000 sentences.

Epoch	LOSS	PREC	RECL	F1
1	1.067	0.425	0.226	0.295
2	0.987	0.457	0.274	0.342
3	0.967	0.431	0.296	0.351
4	0.965	0.406	0.299	0.344
5	0.965	0.407	0.299	0.345
6	0.966	0.391	0.291	0.334
7	0.962	0.421	0.307	0.355
8	0.964	0.400	0.293	0.338
9	0.966	0.394	0.293	0.336
10	0.964	0.404	0.296	0.342
11	0.965	0.404	0.298	0.343
12	0.965	0.405	0.299	0.344
13	0.966	0.413	0.307	0.352
14	0.965	0.412	0.304	0.350
15	0.965	0.405	0.302	0.346
16	0.965	0.432	0.317	0.366
17	0.963	0.390	0.288	0.331
18	0.962	0.407	0.306	0.349
19	0.962	0.404	0.304	0.347
20	0.965	0.411	0.304	0.350
21	0.964	0.406	0.302	0.346
22	0.966	0.389	0.285	0.329
23	0.965	0.401	0.301	0.344
24	0.966	0.396	0.298	0.340
25	0.963	0.407	0.293	0.340
26	0.969	0.394	0.293	0.336
27	0.965	0.412	0.301	0.348
28	0.965	0.415	0.296	0.345
29	0.963	0.408	0.296	0.343
30	0.966	0.385	0.286	0.328

0.861	0.371	0.273	0.315
