162322 words in 3687 sentences. Total 9900 sentences.

LOSS	PREC	RECL	F11	3.867	0.000	0.000	0.000
2	2.957	0.066	0.038	0.048
3	2.599	0.141	0.125	0.133
4	2.523	0.169	0.125	0.144
5	2.508	0.134	0.106	0.118
6	2.504	0.151	0.125	0.137
7	2.502	0.153	0.125	0.138
8	2.503	0.157	0.125	0.139
9	2.502	0.141	0.115	0.127
10	2.504	0.134	0.106	0.118
11	2.501	0.151	0.125	0.137
12	2.503	0.126	0.106	0.115
13	2.501	0.134	0.106	0.118
14	2.502	0.143	0.115	0.128
15	2.505	0.165	0.135	0.148
16	2.502	0.129	0.106	0.116
17	2.503	0.143	0.115	0.128
18	2.502	0.131	0.106	0.117
19	2.505	0.133	0.106	0.118
20	2.503	0.149	0.125	0.136
21	2.503	0.151	0.125	0.137
22	2.503	0.146	0.115	0.129
23	2.503	0.131	0.106	0.117
24	2.501	0.143	0.115	0.128
25	2.504	0.148	0.115	0.130
26	2.502	0.131	0.106	0.117
27	2.504	0.134	0.106	0.118
28	2.504	0.136	0.106	0.119
29	2.503	0.141	0.115	0.127
30	2.503	0.145	0.115	0.128

2.531	0.196	0.169	0.182
