1	0.496	0.318	0.401	0.355
2	0.426	0.357	0.496	0.415
3	0.402	0.401	0.512	0.450
4	0.384	0.437	0.509	0.470
5	0.346	0.481	0.515	0.497
6	0.327	0.442	0.547	0.489
7	0.325	0.457	0.525	0.489
8	0.323	0.482	0.541	0.510
9	0.307	0.506	0.575	0.538
10	0.292	0.484	0.559	0.519
11	0.295	0.499	0.568	0.531
12	0.264	0.534	0.603	0.566
13	0.256	0.527	0.597	0.560
14	0.252	0.554	0.599	0.575
15	0.250	0.545	0.586	0.565
16	0.242	0.534	0.611	0.569
17	0.238	0.554	0.639	0.593
18	0.247	0.573	0.584	0.579
19	0.234	0.559	0.608	0.582
20	0.229	0.548	0.615	0.580
21	0.229	0.567	0.634	0.598
22	0.230	0.565	0.612	0.588
23	0.229	0.564	0.605	0.584
24	0.230	0.569	0.617	0.592
25	0.229	0.573	0.621	0.596
26	0.228	0.569	0.618	0.593
27	0.230	0.568	0.612	0.589
28	0.228	0.570	0.621	0.595
29	0.229	0.559	0.615	0.586
30	0.229	0.564	0.609	0.586

0.254	0.595	0.600	0.597
