1580562 words in 36710 sentences. Total 99000 sentences.

Epoch	LOSS	PREC	RECL	F1
1	1.358	0.449	0.164	0.241
2	1.176	0.483	0.292	0.364
3	1.133	0.454	0.311	0.369
4	1.123	0.438	0.323	0.372
5	1.117	0.455	0.333	0.385
6	1.117	0.443	0.326	0.375
7	1.117	0.428	0.316	0.363
8	1.117	0.443	0.324	0.375
9	1.117	0.433	0.317	0.366
10	1.114	0.442	0.327	0.376
11	1.117	0.445	0.332	0.380
12	1.114	0.447	0.326	0.377
13	1.119	0.433	0.320	0.368
14	1.114	0.451	0.336	0.385
15	1.118	0.440	0.323	0.373
16	1.117	0.443	0.324	0.375
17	1.115	0.438	0.327	0.375
18	1.117	0.440	0.323	0.372
19	1.116	0.441	0.321	0.372
20	1.114	0.434	0.324	0.371
21	1.115	0.437	0.321	0.370
22	1.116	0.438	0.327	0.375
23	1.117	0.441	0.321	0.372
24	1.116	0.419	0.320	0.363
25	1.117	0.429	0.320	0.366
26	1.115	0.440	0.329	0.377
27	1.119	0.431	0.320	0.367
28	1.115	0.435	0.324	0.372
29	1.117	0.441	0.326	0.375
30	1.115	0.440	0.323	0.372

1.151	0.458	0.319	0.376
