1101352 words in 30021 sentences. Total 99000 sentences.

Epoch	LOSS	PREC	RECL	F1
1	1.134	0.329	0.226	0.268
2	1.022	0.413	0.254	0.315
3	0.988	0.379	0.285	0.325
4	0.974	0.387	0.306	0.341
5	0.972	0.368	0.299	0.330
6	0.974	0.378	0.304	0.337
7	0.973	0.380	0.291	0.330
8	0.971	0.381	0.296	0.333
9	0.973	0.370	0.286	0.323
10	0.972	0.372	0.296	0.330
11	0.973	0.371	0.298	0.330
12	0.973	0.376	0.286	0.325
13	0.971	0.372	0.301	0.332
14	0.973	0.385	0.304	0.340
15	0.971	0.374	0.298	0.332
16	0.971	0.364	0.286	0.321
17	0.972	0.382	0.298	0.335
18	0.970	0.366	0.290	0.323
19	0.971	0.372	0.302	0.334
20	0.970	0.379	0.304	0.337
21	0.973	0.382	0.301	0.337
22	0.974	0.383	0.306	0.340
23	0.971	0.389	0.307	0.343
24	0.969	0.395	0.301	0.342
25	0.971	0.372	0.291	0.327
26	0.972	0.389	0.302	0.340
27	0.974	0.380	0.298	0.334
28	0.973	0.385	0.304	0.340
29	0.972	0.397	0.315	0.351
30	0.971	0.390	0.299	0.338

0.881	0.355	0.269	0.306
