633353 words in 14347 sentences. Total 99000 sentences.

Epoch	LOSS	PREC	RECL	F1
1	1.466	0.321	0.102	0.155
2	1.411	0.453	0.124	0.194
3	1.341	0.408	0.173	0.242
4	1.323	0.377	0.186	0.249
5	1.317	0.361	0.183	0.243
6	1.317	0.362	0.180	0.241
7	1.318	0.358	0.182	0.241
8	1.320	0.350	0.180	0.238
9	1.320	0.365	0.191	0.251
10	1.315	0.365	0.188	0.248
11	1.318	0.366	0.186	0.247
12	1.315	0.360	0.185	0.244
13	1.319	0.368	0.188	0.249
14	1.316	0.373	0.189	0.251
15	1.316	0.363	0.186	0.246
16	1.317	0.362	0.182	0.242
17	1.318	0.365	0.186	0.247
18	1.317	0.367	0.186	0.247
19	1.317	0.350	0.174	0.232

1.306	0.385	0.186	0.251
