426 words in 12 sentences. Total 99 sentences.

Epoch	LOSS	PREC	RECL	F1
1	8.793	0.000	0.000	0.000
2	9.274	0.000	0.000	0.000
3	9.339	0.000	0.000	0.000
4	9.340	0.000	0.000	0.000
5	9.340	0.000	0.000	0.000
6	9.340	0.000	0.000	0.000

7.020	0.000	0.000	0.000
