37380 words in 1019 sentences. Total 9900 sentences.

Epoch	LOSS	PREC	RECL	F1
1	5.818	0.001	0.010	0.002
2	4.655	0.000	0.000	0.000
3	4.513	0.000	0.000	0.000
4	4.494	0.000	0.000	0.000
5	4.490	0.000	0.000	0.000
6	4.490	0.000	0.000	0.000

4.192	0.000	0.000	0.000
